id,subject,level,unit,Chapter_Number,video_title,Subchapter_Number,question_type,question,options,correct_answer,hint,good_response,wrong_response,language,difficulty,tags,source_doc,created_at
CHEM_NSI_IntroductiontoChemistry_Q01_MCQ,Chemistry,NS I,Unit: Introduction to Chemistry,1,Branches of Chemistry,1.1,MCQ,"In an exothermic reaction, the sign of \(\Delta H\) is:","[""Positive"", ""Negative"", ""Zero"", ""Undefined""]",Negative,Hint: Heat is released; \(\Delta H<0\).,Correct! Heat is released; \(\Delta H<0\).,Not quite. Hint: Heat is released; \(\Delta H<0\).,English,easy,"[""thermochemistry"", ""enthalpy""]",Chemistry - NS I.docx,2025-10-21T22:49:34.222871
CHEM_NSI_IntroductiontoChemistry_Q01_TF,Chemistry,NS I,Unit: Introduction to Chemistry,1,Branches of Chemistry,1.1,TrueFalse,"In endothermic processes, heat flows into the system from surroundings.","[""True"", ""False""]",True,Surroundings cool; system absorbs heat.,Exactly.,Review: Surroundings cool; system absorbs heat.,English,easy,"[""thermochemistry""]",Chemistry - NS I.docx,2025-10-21T22:49:34.222899
CHEM_NSI_IntroductiontoChemistry_Q01_SA,Chemistry,NS I,Unit: Introduction to Chemistry,1,Branches of Chemistry,1.1,ShortAnswer,"Using \(Q=mc\Delta T\), compute \(Q\) for \(m=50\,\text{g}, c=4.18\,\text{J g}^{-1}{}^{\circ}\text{C}^{-1}, \Delta T=10^{\circ}\text{C}\) in kJ.",[],≈ 2.09 kJ,Multiply then divide by \(1000\).,Nice work!,Compare with the expected form. Multiply then divide by \(1000\).,English,easy,"[""calorimetry""]",Chemistry - NS I.docx,2025-10-21T22:49:34.222914
CHEM_NSI_IntroductiontoChemistry_Q04_MCQ,Chemistry,NS I,Unit: Introduction to Chemistry,1,Chemistry in Everyday Life,1.2,MCQ,Which bond is typically formed by electron transfer?,"[""Covalent bond"", ""Ionic bond"", ""Metallic bond"", ""Hydrogen bond""]",Ionic bond,Hint: Transfer forms ions that attract.,Correct! Transfer forms ions that attract.,Not quite. Hint: Transfer forms ions that attract.,English,easy,"[""bonding"", ""ionic""]",Chemistry - NS I.docx,2025-10-21T22:49:34.222938
CHEM_NSI_IntroductiontoChemistry_Q04_TF,Chemistry,NS I,Unit: Introduction to Chemistry,1,Chemistry in Everyday Life,1.2,TrueFalse,Polar covalent bonds arise from unequal sharing of electrons.,"[""True"", ""False""]",True,Electronegativity difference causes polarity.,Exactly.,Review: Electronegativity difference causes polarity.,English,easy,"[""bonding"", ""polarity""]",Chemistry - NS I.docx,2025-10-21T22:49:34.222953
CHEM_NSI_IntroductiontoChemistry_Q04_SA,Chemistry,NS I,Unit: Introduction to Chemistry,1,Chemistry in Everyday Life,1.2,ShortAnswer,Molar mass of \(H_2O\) (g/mol) to two decimals.,[],18.02,2(H:1.008)+O:16.00.,Nice work!,Compare with the expected form. 2(H:1.008)+O:16.00.,English,easy,"[""molar mass""]",Chemistry - NS I.docx,2025-10-21T22:49:34.222966
CHEM_NSI_IntroductiontoChemistry_Q07_MCQ,Chemistry,NS I,Unit: Introduction to Chemistry,1,Branches of Chemistry,1.1,MCQ,Le Châtelier’s principle: increasing pressure shifts equilibrium toward the side with:,"[""more gas moles"", ""fewer gas moles"", ""no change"", ""solid phase""]",fewer gas moles,Hint: System counteracts the stress.,Correct! System counteracts the stress.,Not quite. Hint: System counteracts the stress.,English,easy,"[""equilibrium"", ""le chatelier""]",Chemistry - NS I.docx,2025-10-21T22:49:34.222986
CHEM_NSI_IntroductiontoChemistry_Q07_TF,Chemistry,NS I,Unit: Introduction to Chemistry,1,Branches of Chemistry,1.1,TrueFalse,A solution with \(\text{pH}=3\) is acidic.,"[""True"", ""False""]",True,pH<7 indicates acidity.,Exactly.,Review: pH<7 indicates acidity.,English,easy,"[""acids"", ""pH""]",Chemistry - NS I.docx,2025-10-21T22:49:34.223000
CHEM_NSI_IntroductiontoChemistry_Q07_SA,Chemistry,NS I,Unit: Introduction to Chemistry,1,Branches of Chemistry,1.1,ShortAnswer,"If \([H^+]=1.0\times10^{-4}\,\text{M}\), compute the pH.",[],4.00,Use \(\text{pH}=-\log[H^+]\).,Nice work!,Compare with the expected form. Use \(\text{pH}=-\log[H^+]\).,English,easy,"[""acids"", ""pH""]",Chemistry - NS I.docx,2025-10-21T22:49:34.223014
CHEM_NSI_IntroductiontoChemistry_Q10_MCQ,Chemistry,NS I,Unit: Introduction to Chemistry,1,Branches of Chemistry,1.1,MCQ,"Boyle’s Law states for a fixed \(n,T\):","[""\\(PV=\\text{constant}\\)"", ""\\(\\frac{P}{T}=\\text{constant}\\)"", ""\\(\\frac{V}{T}=\\text{constant}\\)"", ""\\(P+V=\\text{constant}\\)""]",\(PV=\text{constant}\),Hint: Pressure inversely varies with volume.,Correct! Pressure inversely varies with volume.,Not quite. Hint: Pressure inversely varies with volume.,English,easy,"[""gas laws"", ""boyle""]",Chemistry - NS I.docx,2025-10-21T22:49:34.223033
