Subject,NS_Level,Unit_or_Chapter,Video_or_Lesson_Title,Full_Content
Chemistry,NSI,Unit 1: Introduction to Chemistry (Entwodiksyon a Chimi),Divizyon Chimi (Branches of Chemistry),"Learning Objectives: Identify and describe the main branches of chemistry (organic, inorganic, physical, analytical, biochemistry, etc.) and their areas of focus ; recognize examples of each branch in everyday contexts.
Key Concepts: Overview of chemistry’s subdivisions: Organic chemistry (Chimi Òganik – study of carbon compounds), Inorganic chemistry (Chimi Inòganik – substances not primarily carbon-based), Physical chemistry (Chimi Fizik – principles and energy in chemical systems), Analytical chemistry (Chimi Analitik – composition of substances, e.g. testing water purity), Biochemistry (Biyochimi – chemistry of living organisms). Emphasize that all branches are interrelated and important .
Activities/Experiments: Students match real-world professions or tasks to the branch of chemistry (e.g. famasi – pharmacy to biochemistry, metaliji – metallurgy to inorganic chemistry). Conduct a virtual lab tour: show short clips or images of a lab for each branch (e.g. an organic chemist synthesizing a drug vs. an analytical chemist doing water quality tests). Glossary exercise: Provide a list of Creole/French terms for each branch (e.g. Chimi òganik / Chimie organique) and have students pair them with descriptions.
Quiz/Assessment Ideas: Multiple-choice or matching quiz where students match descriptions or examples (like “studying the chemical composition of a soil sample”) to the correct branch of chemistry. Short response: “Ki brANCH chimi ki enplike nan etid dwòg medikal yo?” (“Which branch of chemistry is involved in the study of medicinal drugs?” Answer: organic or biochemistry)."
Chemistry,NSI,Unit 1: Introduction to Chemistry (Entwodiksyon a Chimi),Enpòtans Chimi nan Lavi Chak Jou (The Importance of Chemistry in Daily Life),"Learning Objectives: Recognize how chemistry is part of daily life in Haiti and globally; identify common products and processes around them that are results of chemistry (food cooking, cleaning, medicine, environment) .
Key Concepts: Chemistry’s role in everyday life: Food and cooking (e.g. kwit manje – cooking involves chemical reactions like caramelization), Health and medicine (medications, vaccines are chemical formulations), Cleaning products (soap – savon, bleach – klowòks – are chemicals that kill germs), Environment (water purification, fertilizer for crops), Materials (plastic, metal alloys, building materials involve chemistry). Emphasize in Creole that “Chimi se lavi” (chemistry is life) through these examples.
Activities/Experiments: Everyday chemistry scavenger hunt – students list or photograph 5 items at home that involve chemistry (e.g. vinig (vinegar) used in cooking/cleaning, batri (battery) generating electricity via chemical reaction). Simple at-home experiment: mix baking soda (* bicarbonat*) and vinegar (vinèg) to demonstrate a quick chemical reaction producing gas (relating to cooking – this is how baking powder works in dough). Students can also make “invisible ink” with lemon juice and heat (an example of chemical change).
Quiz/Assessment Ideas: Provide scenarios and ask which involves chemistry (e.g. iron rusting, water boiling, fruit ripening – all involve chemical processes). True/False questions: “Chimi pa gen anyen pou l’wè ak kwit manje” (“Chemistry has nothing to do with cooking”) – expected answer False, with explanation. Short answer: name one way chemistry helps improve health or daily life (in Creole or French terms)."
Chemistry,NSI,Unit 1: Introduction to Chemistry (Entwodiksyon a Chimi),Entwodiksyon a Chimi – Definisyon ak Istwa (Introduction to Chemistry: Definition and History),"Learning Objectives: Understand what chemistry is and how it has evolved over time; recognize major milestones in the history of chemistry (from ancient alchemy to modern science) ; appreciate chemistry as a scientific discipline.
Key Concepts: Definition of chemistry as the study of matter and its transformations; brief history of chemistry (early alchemists, discovery of elements, Lavoisier’s role in establishing modern chemistry) ; understanding that chemistry is everywhere (“Chimi nan tout bagay” – chemistry in everything).
Activities/Experiments: Documentary research – Students create a simple timeline of key events or scientists in chemistry’s history (e.g. dekouvèt oksijèn pa Lavoisier – discovery of oxygen by Lavoisier) . They can watch a short video (in Creole or French) about the history of chemistry and discuss in groups. Optionally, have students identify an old practice (like making soap or fermenting foods) and link it to chemical principles.
Quiz/Assessment Ideas: List one important chemist and their contribution; multiple-choice questions on what chemistry studies and why ancient alchemists are considered early chemists; short answer: “Why is Lavoisier called the father of modern chemistry?” (answered in Creole, e.g. Paske li te montre enpòtans konsèvasyon mas nan reyaksyon chimik – Because he demonstrated the importance of mass conservation in chemical reactions)."
Chemistry,NSI,Unit 2: Matter and Energy (Matiè ak Enèji),Diferan Fòm Enèji (Different Forms of Energy),"Learning Objectives: Define energy in scientific terms; list and describe various forms of energy (mechanical, thermal, chemical, electrical, light, etc.) and give examples of each ; understand that energy can change form but is conserved.
Key Concepts: Energy (enèji) is the ability to do work or cause change. Forms of energy include mechanical energy (enèji mekanik) – e.g. moving objects, thermal energy (heat, chalè) – e.g. fire, chemical energy (enèji chimik) – stored in fuel or food, electrical energy – electricity, radiant energy (light from the sun), etc. Introduce the concept of energy conversion (e.g. chemical energy in a battery converts to electrical energy). Emphasize each form’s characteristics (e.g. chalè produces warmth, enèji limyè – light energy helps plants grow).
Activities/Experiments: Energy observation walk – students look around their home or school to identify examples of each energy form (e.g. a radio uses electrical energy, cooking uses thermal and chemical energy). Simple demonstration: show a pendil (pendulum) or a ball tossed in the air to illustrate conversion between kinetic and potential energy (with teacher guidance in video). Have students rub their hands together quickly – they feel heat (thermal energy) produced from mechanical motion (kinetic energy).
Quiz/Assessment Ideas: Matching exercise: match an example to the type of energy (e.g. sunlight – radiant, a battery – chemical). Fill-in-the-blank: “Energy cannot be created or destroyed, only ________” (expected: transformed). Short answer: name two forms of energy involved when turning on a flashlight (chemical in batteries to electrical to light)."
Chemistry,NSI,Unit 2: Matter and Energy (Matiè ak Enèji),Eta Fizik Matyè ak Chanjman Eta (Physical States of Matter and Changes of State),"Learning Objectives: Name and describe the three principal states of matter – solid (sòlid), liquid (likid), gas (gaz) ; compare their properties (shape, volume, particle arrangement); explain common changes of state (melting, freezing, evaporation, condensation, sublimation) and what causes these changes .
Key Concepts: Solids (sòlid): have fixed shape and volume, particles tightly packed (e.g. ice, a rock). Liquids (likid): have fixed volume but take the shape of their container, particles are close but can flow (e.g. liquid water). Gases (gaz): have no fixed shape or volume, they expand to fill their container, particles far apart and moving fast (e.g. water vapor). Changes of state (chanjman eta): melting (fonn) – solid to liquid, freezing (jeledi) – liquid to solid, evaporation/boiling (evaporasyon/eboyaj) – liquid to gas, condensation (kondansasyon) – gas to liquid, sublimation (siblimasyon) – solid to gas (e.g. dry ice). These changes occur with heat energy absorbed or released (heating causes particles to move apart, cooling causes them to come together).
Activities/Experiments: Have students observe ice melting in their hands (solid to liquid) and water boiling (liquid to gas as steam). They can also observe condensation by putting a cold glass in humid air and seeing water droplets form on it (gas to liquid). For sublimation, if available, watch a video of dry ice turning directly into gas. In a virtual simulation or drawing, students arrange “particles” (draw circles) to depict solids, liquids, and gases.
Quiz/Assessment Ideas: Fill-in-the-blank: “When water boils, it turns into ______” (steam/gas). Ask why sweating cools you down (evaporation is a cooling process – takes heat away). Multiple-choice: which state of matter has a fixed volume but not a fixed shape? (Liquid). Short answer: Describe what happens to particle movement when water freezes into ice (they slow down and arrange in a rigid structure)."
Chemistry,NSI,Unit 2: Matter and Energy (Matiè ak Enèji),Matiè – Definisyon ak Estrikti (Matter – Definition and Structure),"Learning Objectives: Define matter (matyè) as anything that has mass and takes up space ; understand that matter is made up of tiny particles (atoms or molecules); distinguish between matter and forms of energy (e.g. a rock is matter, sunlight is energy).
Key Concepts: Matter has mass (mas) and volume (volim) . All matter is composed of particles – typically atoms or molecules – which are too small to see. Introduce the basic particle model: particles are constantly moving and spaced differently in different states. Everything tangible (air, water, solids) is matter, whereas forms of energy (light, heat) are not matter. Mention that particles of matter (patikil matyè) are held together by forces and can form substances.
Activities/Experiments: Demonstration of matter taking space: fill a syringe with air and press the plunger to feel resistance (air is matter occupying space). Or submerge an upside-down cup in water to show air trapped (proof that air occupies volume). For particle concept, you can have students dissolve a spoon of salt in water – it “disappears” but the water tastes salty, indicating salt’s particles are still present in the water (matter is made of particles too small to see).
Quiz/Assessment Ideas: Multiple choice: identify which of the following is matter vs not matter (options: stone, sunlight, air, sound). True/False: “Air does not have mass” (False – students should recall air has mass and volume). Short response: give one evidence that matter is made of particles (e.g. dissolving or diffusion examples)."
Chemistry,NSI,Unit 3: Pure Substances and Mixtures (Sibstans Pi ak Melanj),Metòd Separasyon Fizik Melanj (Physical Methods of Separating Mixtures),"Learning Objectives: Identify and describe common physical separation techniques for mixtures ; understand that these methods exploit differences in physical properties (particle size, boiling point, density, solubility, magnetism, etc.) to separate components without changing their chemical identities.
Key Concepts: Main separation methods: Filtration (Filtrasyon) – separates solids from liquids using a filter (e.g. filtering sand out of water) ; Distillation (Distilasyon) – separates substances by boiling and condensing (exploits different boiling points, e.g. obtaining pure water from saltwater) ; Evaporation – letting the liquid part vaporize to leave solids behind (e.g. getting salt crystals by evaporating seawater); Decantation (Dekantasyon) – pouring off a liquid from a settled solid or separating two immiscible liquids (like oil and water); Chromatography (optional introduction) – separating mixtures based on movement through a medium (e.g. separating ink pigments on paper); Magnetic separation – using a magnet to pull out magnetic material (e.g. iron filings from sand). Emphasize that no new substances are formed during these separations (they are physical changes).
Activities/Experiments: Hands-on Separation: Provide or have students design simple separation tasks: e.g. filter muddy water (dlo labou) through coffee filter or cloth to obtain clearer water ; perform a simple distillation demonstration in video (heat saltwater in a pot with a lid to collect condensed droplets, or a solar still with a bowl and plastic wrap) to show how distilled water (dlo distile) can be obtained . Home experiment: evaporate saltwater in a shallow dish under the sun and observe salt crystals after water evaporates. Another easy activity: use a spoon to skim oil off the top of water (decanting immiscible liquids), or use a magnet to separate iron filings (or a magnet-attracted item like steel staples) from sand if available. For fun, do paper chromatography with a strip of paper and marker ink to show color separation.
Quiz/Assessment Ideas: Matching exercise: match a mixture to the best separation method (e.g. “sand and water” → filtration, “salt dissolved in water” → evaporation or distillation, “iron nails and sawdust” → use magnet for nails). Scenario questions: “How would you obtain drinking water from muddy river water?” (Expected answer: let solids settle then filter, possibly boil). True/False: “Distillation can separate components of a liquid mixture by their boiling points” (True). Fill-in: “To separate a solid that does not dissolve in a liquid, one effective method is __” (filtration)."
Chemistry,NSI,Unit 3: Pure Substances and Mixtures (Sibstans Pi ak Melanj),Sibstans Pi kont Melanj (Pure Substances vs. Mixtures),"Learning Objectives: Define and distinguish a pure substance (sibstans pi) from a mixture (melanj) ; understand that pure substances have consistent properties and composition, while mixtures contain two or more components combined physically; classify examples of substances as pure elements, pure compounds, or mixtures.
Key Concepts: Pure substance: matter with a uniform and unchanging composition – can be an element (e.g. òksijèn – oxygen gas O₂) or a compound (e.g. dlo – water H₂O). Pure substances have fixed characteristic properties like specific boiling/freezing points. Mixture: a combination of two or more substances that are not chemically bonded (e.g. seawater, air, a salad). Mixtures can be homogeneous (omojèn, uniform composition, e.g. salt dissolved in water) or heterogeneous (etèrojèn, non-uniform, e.g. sandy water). Physical properties of mixtures (boiling point, density, etc.) can vary depending on composition . Example: distilled water boils at 100°C at standard conditions (pure substance) while seawater (a mixture) may boil at a slightly higher temperature and has a range.
Activities/Experiments: Students list items at home and identify them as pure substance or mixture (e.g. sugar or sik – pure compound; kitchen salt – pure compound if 100% NaCl; saltwater or dlo sèl – mixture; juice – mixture). Comparative experiment: Measure or observe differences: for instance, take ice cubes made from pure water and salty water – note if they melt at different rates or temperatures (illustrating how salt (a solute) changes freezing point). Or simpler, demonstrate that an egg floats in saltwater but sinks in pure water, indicating a density change due to mixture. Students can also use a thermometer (if available) to record the boiling temperature of tap water versus salty water (carefully) and compare results .
Quiz/Assessment Ideas: Provide a list of materials (iron nail, bronze alloy, baking soda, milk, oxygen) and ask which are pure substances and which are mixtures. Multiple choice: “Which property is the same for every sample of a pure substance under the same conditions?” A) Boiling point , B) Color, C) Volume – correct answer: A) Boiling point (color could differ for different forms like allotropes, volume is just amount). True/False: “Air is a pure substance” (False – air is a homogeneous mixture of gases)."
Chemistry,NSI,Unit 4: Properties of Matter (Pwopriyete Matyè),Entwodiksyon a Radyoaktivite (Introduction to Radioactivity),"Learning Objectives: Understand what radioactivity (radyoaktivite) is at a basic level (unstable atomic nuclei releasing energy/particles); differentiate the main types of nuclear radiation (alpha, beta, gamma) in simple terms; discuss the advantages and disadvantages of radioactivity in real life   – including its applications and its hazards.
Key Concepts: Radioactivity is a property of certain materials (like uranium, radium) where their atoms break down spontaneously, emitting radiation. Radiation can be in forms of particles (alpha α, beta β) or high-energy waves (gamma γ). Pros: Radioactivity has beneficial uses – e.g. medical imaging and treatments (X-rays, cancer radiotherapy), sterilization of medical equipment, generating electricity in nuclear power plants, carbon dating in archaeology. Cons: Radioactive emissions can damage living tissue – can cause radiation sickness, increase cancer risk; radioactive waste is hazardous and must be contained; nuclear accidents (e.g. Chernobyl, Fukushima) have long-lasting environmental impact. Also mention the natural source of radiation (the sun’s cosmic rays, radon gas) and that at low levels radiation is managed but high doses are dangerous. Key terms in Creole/French: iradyasyon (irradiation), talfòm (half-life, if needed). Emphasize safety: handling radioactive materials requires special precautions.
Activities/Experiments: Since direct experimentation is not feasible, focus on research and virtual demonstrations: Students do a mini-research project (in Creole or French) on one application of radioactivity (e.g. how X-ray imaging works – Radyo X, or how food is preserved by irradiation) . Watch a short documentary clip (with Creole voiceover or subtitles) about Marie Curie’s discovery of radioactive elements or a video demonstrating a Geiger counter clicking near a radioactive source. If possible, simulate radioactive decay with a fun activity: use popcorn kernels popping (randomness of decay) or shake a box of different colored beads where a certain color represents “decayed” atoms after each shake to simulate half-life.
Quiz/Assessment Ideas: True/False: “Radioactivity can be beneficial to human health” (True, in controlled uses like cancer treatment). Multiple-choice: “Which of these is NOT a risk associated with radioactivity? A) Radiation burns, B) Nuclear waste, C) Formation of new elements, D) Cancer risk” – correct answer: C) Formation of new elements (though technically new elements/isotopes can form from decay, the “risk” phrasing makes C the odd one out). Short answer: Name one useful application of radioactivity and one harmful effect. For example, “Yon avantaj se itilize radyografi nan lopital, e yon inconvénient se polisyon radyoaktif ki ka koze maladi.” (“One advantage is using X-rays in hospitals, and one disadvantage is radioactive pollution that can cause illness.”)"
Chemistry,NSI,Unit 4: Properties of Matter (Pwopriyete Matyè),Pwopriyete Chimik Matyè (Chemical Properties of Matter),"Learning Objectives: Define chemical properties and provide examples; distinguish chemical changes from physical changes by the formation of new substances; recognize common signs of a chemical change (gas production, color change, heat/light, precipitate formation) .
Key Concepts: Chemical properties (pwopriyete chimik) describe a substance’s ability to undergo specific chemical changes, i.e. how it reacts with other substances. Examples: flammability (inflamabilite – ability to burn in air, like charcoal burning), reactivity with acids or bases (e.g. zinc reacts with acid to produce hydrogen gas), ability to rust or oxidize (iron reacts with oxygen to form rust), tendency to decompose (like hydrogen peroxide breaking down). A chemical change (chanjman chimik) or chemical reaction (reyaksyon chimik) results in new substances with new identities (e.g. burning paper produces ash and gases, iron rusting produces iron oxide). Indicators of chemical change include: gas bubbling (effervescence), formation of a solid in solution (precipitate), energy release or absorption (temperature change, light), and permanent color change. Contrast with physical change: chemical changes are usually not easily reversible and involve bonds breaking/forming.
Activities/Experiments: Safe small-scale chemical changes: mix vinegar (vinèg, a weak acid) with baking soda (bikabònat, a base) to produce carbon dioxide gas (bubbling) – an obvious chemical reaction with new products (CO₂, water, sodium acetate). Combustion demo: If possible under supervision, burn a small piece of paper or wood – observe flame (heat/light), smoke (gas), char (new solid) – evidence of chemical change (cannot easily turn ash back to paper). Rusting experiment: Dip steel wool in vinegar (to remove its protective coating) and leave it exposed to air; over time it rusts (color change to orange, exothermic warmth can be felt early on) – students observe over days how a new substance (rust) forms. Alternatively, use an online video of iron rusting if time is short. Students can also observe how fruit browning (like an apple slice left out) is a slow chemical change (oxidation).
Quiz/Assessment Ideas: Ask students to identify which scenarios are chemical changes: e.g. ice melting vs. wood burning, milk souring vs. sugar dissolving. True/False: “When a chemical change occurs, the total mass of substances changes” (False – law of mass conservation still holds, mass is the same, just rearranged). Multiple-choice: “Which of these is a chemical property? A) density, B) melts at 0°C, C) reacts with acid to produce gas” – correct: C. Short answer: Provide one observable sign of a chemical reaction and give an example (e.g. gas production – effervescence when Alka-Seltzer is dropped in water)."
